"filename","testsuite","type","test","result","start","end","time"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/filter_results.nf.test","Test Process FILTER_RESULTS","ProcessTestSuite","Should output all regenie lines","PASSED","1708862135248","1708862140067","4.819"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/filter_results.nf.test","Test Process FILTER_RESULTS","ProcessTestSuite","Should output an empty file","PASSED","1708862140068","1708862144978","4.91"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/imputed_to_plink2.nf.test","Test Process IMPUTED_TO_PLINK2","ProcessTestSuite","Should create a pgen, psam and pvar file with 500 samples","PASSED","1708862144978","1708862148547","3.569"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/merge_results.nf.test","Test Process MERGE_RESULTS","ProcessTestSuite","Should output 2 merged regenie files by phenotype, one is empty","PASSED","1708862148547","1708862153506","4.959"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/prune_genotyped.nf.test","Test Process PRUNE_GENOTYPED","ProcessTestSuite","Should apply pruning and limit output to 248 lines","PASSED","1708862153507","1708862157024","3.517"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/qc_filter_genotyped.nf.test","Test Process QC_FILTER_GENOTYPED","ProcessTestSuite","Should create QCed files by using plink","PASSED","1708862157024","1708862160505","3.481"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/regenie_step1.nf.test","Test Process REGENIE_STEP1","ProcessTestSuite","Should execute regenie step 1 for 2 phenotypes ","PASSED","1708862160506","1708862165032","4.526"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/regenie_step2.nf.test","Test Process REGENIE_STEP2","ProcessTestSuite","Should execute regenie step2 without predictions","PASSED","1708862165033","1708862168693","3.66"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/regenie_step2_gene_tests.nf.test","Test Process REGENIE_STEP2_GENE_BASED_TESTS","ProcessTestSuite","Should execute regenie step2 without predictions","PASSED","1708862168694","1708862172819","4.125"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/report.nf.test","Test Process REPORT","ProcessTestSuite","Interaction should create a different report","PASSED","1708862172820","1708862189565","16.745"
